Age,1st,5th,10th,25th,50th,75th,90th,95th,99th
20,"31.75 (30.29, 33.22)","39.16 (38.33, 39.99)","42.78 (42.07, 43.49)","48.59 (47.94, 49.25)","55.24 (54.63, 55.85)","62.62 (62.06, 63.19)","69.94 (69.29, 70.58)","74.70 (73.92, 75.48)"," 84.71 ( 83.29,  86.13)"
22,"31.54 (30.33, 32.75)","38.84 (38.21, 39.48)","42.40 (41.87, 42.93)","48.12 (47.62, 48.61)","54.69 (54.21, 55.18)","62.06 (61.55, 62.56)","69.38 (68.77, 69.99)","74.17 (73.44, 74.90)"," 84.28 ( 83.02,  85.54)"
24,"31.28 (30.24, 32.32)","38.47 (37.96, 38.99)","41.97 (41.55, 42.38)","47.59 (47.19, 47.99)","54.09 (53.67, 54.51)","61.43 (60.94, 61.93)","68.78 (68.12, 69.43)","73.59 (72.79, 74.39)"," 83.81 ( 82.46,  85.15)"
26,"30.95 (29.96, 31.95)","38.04 (37.51, 38.57)","41.47 (41.04, 41.91)","47.00 (46.59, 47.41)","53.43 (53.00, 53.87)","60.75 (60.22, 61.29)","68.12 (67.41, 68.82)","72.96 (72.10, 73.82)"," 83.29 ( 81.85,  84.74)"
28,"30.57 (29.63, 31.52)","37.56 (37.05, 38.06)","40.93 (40.52, 41.35)","46.37 (45.99, 46.74)","52.74 (52.34, 53.14)","60.05 (59.56, 60.54)","67.43 (66.77, 68.09)","72.31 (71.49, 73.14)"," 82.78 ( 81.31,  84.24)"
30,"30.16 (29.32, 30.99)","37.05 (36.62, 37.47)","40.37 (40.02, 40.72)","45.72 (45.38, 46.06)","52.04 (51.66, 52.41)","59.34 (58.88, 59.80)","66.76 (66.15, 67.38)","71.69 (70.89, 72.49)"," 82.30 ( 80.80,  83.80)"
32,"29.72 (28.96, 30.48)","36.53 (36.12, 36.94)","39.81 (39.44, 40.18)","45.08 (44.69, 45.47)","51.36 (50.93, 51.80)","58.68 (58.18, 59.18)","66.15 (65.50, 66.80)","71.13 (70.31, 71.96)"," 81.92 ( 80.35,  83.49)"
34,"29.29 (28.56, 30.02)","36.04 (35.64, 36.43)","39.28 (38.93, 39.62)","44.49 (44.14, 44.84)","50.75 (50.37, 51.13)","58.10 (57.65, 58.54)","65.64 (65.04, 66.24)","70.69 (69.90, 71.47)"," 81.67 ( 80.10,  83.24)"
36,"28.89 (28.17, 29.62)","35.60 (35.19, 36.02)","38.81 (38.45, 39.17)","43.98 (43.65, 44.31)","50.24 (49.90, 50.58)","57.64 (57.24, 58.04)","65.27 (64.72, 65.83)","70.40 (69.65, 71.14)"," 81.62 ( 80.09,  83.15)"
38,"28.53 (27.82, 29.25)","35.23 (34.78, 35.67)","38.42 (38.04, 38.81)","43.57 (43.22, 43.92)","49.85 (49.50, 50.21)","57.32 (56.91, 57.74)","65.07 (64.51, 65.63)","70.29 (69.56, 71.03)"," 81.79 ( 80.31,  83.26)"
40,"28.18 (27.51, 28.85)","34.89 (34.44, 35.34)","38.09 (37.69, 38.49)","43.24 (42.87, 43.61)","49.57 (49.19, 49.96)","57.15 (56.70, 57.60)","65.04 (64.44, 65.64)","70.38 (69.62, 71.14)"," 82.18 ( 80.74,  83.63)"
42,"27.82 (27.18, 28.45)","34.58 (34.13, 35.03)","37.79 (37.38, 38.20)","42.98 (42.59, 43.37)","49.40 (48.98, 49.81)","57.11 (56.62, 57.61)","65.18 (64.54, 65.82)","70.66 (69.86, 71.46)"," 82.82 ( 81.38,  84.26)"
44,"27.44 (26.81, 28.07)","34.29 (33.84, 34.75)","37.54 (37.13, 37.96)","42.79 (42.40, 43.18)","49.33 (48.91, 49.74)","57.22 (56.72, 57.72)","65.50 (64.85, 66.15)","71.14 (70.33, 71.94)"," 83.69 ( 82.25,  85.13)"
46,"27.09 (26.43, 27.74)","34.05 (33.59, 34.51)","37.35 (36.94, 37.76)","42.69 (42.32, 43.06)","49.38 (48.99, 49.77)","57.49 (57.02, 57.96)","66.00 (65.39, 66.62)","71.81 (71.04, 72.58)"," 84.77 ( 83.35,  86.19)"
48,"26.77 (26.09, 27.46)","33.86 (33.40, 34.32)","37.23 (36.83, 37.63)","42.69 (42.34, 43.05)","49.56 (49.20, 49.93)","57.91 (57.47, 58.35)","66.69 (66.11, 67.26)","72.67 (71.95, 73.40)"," 86.02 ( 84.64,  87.40)"
50,"26.52 (25.81, 27.23)","33.75 (33.30, 34.21)","37.20 (36.81, 37.59)","42.80 (42.46, 43.15)","49.88 (49.52, 50.24)","58.49 (58.06, 58.93)","67.54 (66.98, 68.09)","73.69 (73.00, 74.38)"," 87.38 ( 86.02,  88.74)"
52,"26.37 (25.65, 27.09)","33.73 (33.29, 34.18)","37.26 (36.89, 37.64)","43.03 (42.69, 43.36)","50.33 (49.97, 50.69)","59.21 (58.77, 59.66)","68.52 (67.96, 69.08)","74.83 (74.14, 75.52)"," 88.79 ( 87.43,  90.15)"
54,"26.33 (25.62, 27.04)","33.81 (33.37, 34.24)","37.42 (37.05, 37.79)","43.36 (43.03, 43.68)","50.90 (50.54, 51.26)","60.06 (59.60, 60.51)","69.61 (69.03, 70.18)","76.05 (75.34, 76.75)"," 90.15 ( 88.78,  91.52)"
56,"26.39 (25.70, 27.09)","33.96 (33.53, 34.39)","37.66 (37.30, 38.02)","43.78 (43.46, 44.09)","51.56 (51.20, 51.91)","60.98 (60.53, 61.43)","70.74 (70.16, 71.33)","77.28 (76.55, 78.00)"," 91.43 ( 90.06,  92.79)"
58,"26.49 (25.80, 27.17)","34.14 (33.71, 34.58)","37.93 (37.57, 38.30)","44.23 (43.91, 44.55)","52.25 (51.91, 52.60)","61.93 (61.49, 62.37)","71.89 (71.30, 72.48)","78.49 (77.75, 79.23)"," 92.59 ( 91.25,  93.93)"
60,"26.58 (25.90, 27.26)","34.32 (33.88, 34.76)","38.19 (37.82, 38.56)","44.68 (44.36, 45.00)","52.95 (52.61, 53.29)","62.88 (62.44, 63.32)","73.01 (72.41, 73.61)","79.66 (78.91, 80.42)"," 93.68 ( 92.38,  94.98)"
62,"26.71 (26.04, 27.39)","34.54 (34.09, 34.99)","38.51 (38.13, 38.89)","45.20 (44.87, 45.52)","53.71 (53.38, 54.05)","63.89 (63.46, 64.33)","74.18 (73.58, 74.79)","80.88 (80.13, 81.63)"," 94.79 ( 93.54,  96.04)"
64,"26.94 (26.28, 27.60)","34.86 (34.41, 35.32)","38.93 (38.54, 39.32)","45.82 (45.49, 46.15)","54.58 (54.26, 54.91)","65.01 (64.59, 65.42)","75.46 (74.88, 76.04)","82.21 (81.49, 82.93)"," 96.03 ( 94.86,  97.20)"
66,"27.24 (26.62, 27.86)","35.28 (34.84, 35.73)","39.45 (39.07, 39.84)","46.55 (46.21, 46.88)","55.57 (55.24, 55.89)","66.23 (65.84, 66.63)","76.86 (76.31, 77.40)","83.66 (82.98, 84.33)"," 97.42 ( 96.33,  98.52)"
68,"27.58 (26.98, 28.18)","35.76 (35.33, 36.19)","40.04 (39.66, 40.41)","47.35 (47.02, 47.68)","56.62 (56.30, 56.94)","67.53 (67.14, 67.92)","78.33 (77.81, 78.86)","85.19 (84.55, 85.84)"," 98.95 ( 97.89, 100.01)"
70,"27.85 (27.23, 28.47)","36.19 (35.76, 36.62)","40.59 (40.21, 40.96)","48.11 (47.79, 48.44)","57.63 (57.31, 57.95)","68.80 (68.41, 69.18)","79.78 (79.25, 80.31)","86.71 (86.05, 87.37)","100.50 ( 99.41, 101.59)"
72,"27.98 (27.30, 28.65)","36.50 (36.04, 36.96)","41.01 (40.62, 41.40)","48.76 (48.43, 49.10)","58.54 (58.20, 58.87)","69.94 (69.53, 70.35)","81.11 (80.55, 81.67)","88.13 (87.43, 88.82)","101.97 (100.83, 103.12)"
74,"27.93 (27.22, 28.63)","36.65 (36.17, 37.13)","41.29 (40.88, 41.70)","49.27 (48.90, 49.64)","59.29 (58.92, 59.67)","70.95 (70.51, 71.39)","82.32 (81.73, 82.90)","89.42 (88.70, 90.15)","103.37 (102.17, 104.56)"
76,"27.72 (27.03, 28.42)","36.65 (36.18, 37.12)","41.42 (41.01, 41.82)","49.62 (49.25, 50.00)","59.91 (59.52, 60.29)","71.82 (71.37, 72.26)","83.38 (82.78, 83.98)","90.60 (89.84, 91.35)","104.67 (103.41, 105.92)"
78,"27.42 (26.71, 28.12)","36.54 (36.05, 37.04)","41.43 (41.01, 41.85)","49.86 (49.47, 50.24)","60.38 (59.98, 60.78)","72.54 (72.07, 73.02)","84.32 (83.65, 84.99)","91.64 (90.78, 92.50)","105.86 (104.46, 107.27)"
80,"27.13 (26.35, 27.91)","36.43 (35.85, 37.00)","41.42 (40.91, 41.93)","50.04 (49.57, 50.50)","60.79 (60.32, 61.26)","73.19 (72.63, 73.75)","85.17 (84.39, 85.95)","92.60 (91.61, 93.59)","106.99 (105.41, 108.57)"
82,"26.96 (26.14, 27.78)","36.40 (35.77, 37.02)","41.47 (40.91, 42.04)","50.25 (49.73, 50.77)","61.21 (60.69, 61.73)","73.83 (73.23, 74.42)","86.00 (85.18, 86.83)","93.54 (92.50, 94.58)","108.10 (106.45, 109.75)"
84,"26.93 (26.07, 27.78)","36.46 (35.83, 37.09)","41.60 (41.04, 42.16)","50.50 (49.98, 51.03)","61.63 (61.11, 62.16)","74.46 (73.86, 75.05)","86.82 (86.00, 87.64)","94.46 (93.43, 95.49)","109.19 (107.55, 110.82)"
86,"26.97 (25.99, 27.95)","36.57 (35.90, 37.24)","41.76 (41.19, 42.33)","50.76 (50.23, 51.29)","62.04 (61.49, 62.59)","75.05 (74.41, 75.69)","87.58 (86.70, 88.47)","95.32 (94.21, 96.44)","110.21 (108.50, 111.92)"
88,"27.03 (25.79, 28.27)","36.67 (35.88, 37.45)","41.89 (41.26, 42.51)","50.95 (50.42, 51.49)","62.35 (61.79, 62.92)","75.52 (74.80, 76.24)","88.20 (87.15, 89.25)","96.02 (94.71, 97.34)","111.05 (109.09, 113.02)"
90,"27.07 (25.45, 28.70)","36.72 (35.70, 37.74)","41.96 (41.18, 42.74)","51.07 (50.45, 51.69)","62.56 (61.94, 63.18)","75.85 (75.03, 76.66)","88.65 (87.41, 89.89)","96.54 (94.96, 98.11)","111.68 (109.35, 114.00)"
